,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
I1,0.34806711086326897,0.4439765731933707,0.579055087156832,0.7971160501547193,0.8048154953649918,0.8387943336079504,0.90161234016028,0.9029970487618874,0.9236364760275373,0.9958225136513237,0.9998584205309234,1.0000000000000022
I2a,0.00837223887887235,0.30095367155508856,0.6863219543177554,0.8167437596432625,0.8345689620731112,0.9089190069014812,0.9743827448269334,0.9949291354520989,0.9974721858866372,0.9986824410502042,0.9996631987144925,1.0000000000000024
I2b,0.092554352654674,0.4955741234369049,0.5186437588888672,0.7798925555456195,0.8571293224262089,0.857692019453465,0.8582656864584105,0.8583420316033556,0.8798626016193174,0.9966660605597626,0.9999931211592245,1.0000000000000002
R1a,0.22142330912357258,0.6133035494307817,0.6913335156195062,0.7199814859569079,0.7479890197931505,0.7830002364463691,0.9940808848543856,0.9950450150786304,0.9977012002580568,0.9986182962838829,0.9996561859954551,1.0
R1b,0.00040404558950279647,0.7160974170782204,0.7859133406501273,0.9743885577860845,0.9744773798162468,0.9748323824443265,0.9851989373758104,0.9854749947910986,0.9987879129269839,0.998788748361282,0.9989056265145279,1.000000000000004
G,0.5297403791286143,0.6022938954919945,0.6482533803736662,0.6506114012186753,0.6601140707801729,0.8002803952358549,0.8003778579510996,0.8080597246287173,0.9547140867861834,0.9984888276301405,0.9999701739022216,1.0000000000000016
J2,0.7596295831453983,0.7741754057659179,0.818020708335645,0.8351172460076142,0.8383230610200155,0.858278374950132,0.8583885973449721,0.8881992009168055,0.8923833871221649,0.8941714632919445,0.9998786779544431,1.0000000000000004
J1,0.6200179193462761,0.6213733541922374,0.6854464272722262,0.6862377480758597,0.6886159938156239,0.7698808674401575,0.7856043835427435,0.9056390353566192,0.9450329685466592,0.9659064704387269,0.9999930302231342,1.0000000000000013
E1b1b,0.4406073322529413,0.4876483451007958,0.549964965602868,0.5969744193919274,0.59845122355844,0.9227933070418077,0.9324057049899077,0.9388646383469466,0.9716786832656156,0.9720041045144517,0.9998649339264631,1.0000000000000022
T,0.5303731937094636,0.530846886288426,0.6782928092530451,0.6797189484452614,0.6797193249680845,0.6880115937616383,0.6882626037223049,0.9511037652439209,0.9896060731753624,0.9976893465757111,0.9999985587349365,1.0000000000000018
Q,0.0374244123919575,0.04217926095071072,0.042367093990956846,0.13814016744570806,0.9827133161894324,0.9885764024377458,0.9909743448384947,0.9928829514329298,0.9977858607190143,0.9998165649393723,0.9999493369346477,1.0000000000000029
N,0.19913318334211533,0.4533133959279512,0.6394835688902187,0.8470739512743712,0.84837516491547,0.8592365162609098,0.9397241848990983,0.939837255903528,0.9781150711492503,0.9995360253126674,0.9996228156995279,0.9999999999999997
