,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
Albania,0.006883267486525328,0.005560922360485115,0.0059676876149839546,0.002887863346151946,3.77201256512282e-05,0.042476175786138735,0.0009659692081187719,0.029727838436816065,1.8735506210519238e-05,0.003995352141147735,0.009667116384837452,0.08787595457140215
Austria,1.8718198616224646e-05,0.0005598424603958598,0.0011270978363023228,0.0021419775612012606,0.0014178232319088755,0.003604778527815984,0.0015302492325454556,0.00036911200924654846,0.007325800588921729,0.02081537232031045,0.0011813161680294974,0.01414676080648875
Tyrol,0.0006252254991209536,0.005246940640455964,0.002214345079146805,0.0005688848110395623,0.0009173286954772334,0.0005629083248604232,0.000490138933702064,0.0002506023211589658,0.006315209749446787,0.049835552627335244,0.010280395655526398,0.0019007440538227674
Belarus,0.009912967316678203,0.027851414622744774,2.257635808829817e-05,0.0005272246153648823,0.002766473036749168,0.016355713792400684,0.03876188306525024,0.005277627565346853,0.0034353676885116513,0.001194069959431307,0.0018341857626615638,0.004212145795962711
Belgium,0.0017486704427985276,0.018491392999453012,0.00015883371075628335,5.328233854407936e-05,0.001376140347132691,0.00019803508245167333,0.00092419140011242,4.668744584896549e-05,4.438107631061086e-05,0.00686207019652416,0.00014293801805142532,0.0028946181370471044
Bosnia-Herzegovina,0.0002130651485724042,0.03327042904905376,0.060425445670826916,0.009353283778940968,1.0510267704770814e-05,0.0075675129345876965,0.02775745412410588,0.014518189849819485,0.004608493498730243,0.0005508149645508233,1.0302383762288634e-05,0.016840216141182574
Bosniaks,0.0005711239344310009,0.031787255704046835,0.06252232234988153,0.00904180334743375,0.0008449370796716567,0.01400517845007949,0.02940591999532047,0.007981927198068374,0.003921994440225079,0.004496466041730713,0.00025715593471968415,0.0021355878790323855
Bosnian Croats,0.0021593751215692523,0.03011698783045612,0.11712793388502943,0.022147536983095795,0.0060049454288269195,0.02678841009616583,0.054267367484484096,0.015387490129020907,0.0001148457379567017,0.016694408365223217,0.00826838930419693,0.003148442681867998
Bosnian Serbs,0.00014741072306500118,0.011751624910357654,0.019446941636609667,0.014692713277542365,9.147510257957991e-05,0.015252718262176728,0.00032793347604948985,0.011014342968277597,0.0014258947747428899,0.021939419677524774,0.0006142282844625652,0.05268219103051027
Bulgaria,0.005323175838473597,0.006649552016868227,0.002304980513167772,0.009447752972902753,0.0006830322654600215,0.00142464529720615,8.839938118151295e-05,0.008303324634766794,0.0033710169371826727,0.0031436391910899955,0.02403117881470239,0.007789040620236553
Croatia,0.0006841275427885568,0.017538134781222466,0.019135909081094273,0.007875329478364184,0.0006393758805691703,0.007941960528153288,0.0010813627964818154,1.3773737632960884e-05,0.0020834969985142598,0.0016267543282739185,0.00032016104536422194,1.639677981066206e-05
Czech Republic,0.0042623481170073274,6.45479494612174e-05,0.0016865739309153542,0.011437563890214855,0.003710593150671745,0.004654555717757423,0.02592919678743557,0.0007601446177425385,0.004974279939025271,5.3908712030727544e-05,0.005423690494954905,0.009103991425932477
Cyprus,0.07889009024067933,0.0057551214687909975,0.021203245982657794,0.0012041017452230948,0.002547524436718603,0.0007612183098720946,0.0047976519455303224,0.007191035534656285,0.014178286079694563,0.0005559369795388432,0.061211857288275544,4.719593555597924e-05
Denmark,0.020268514300355457,0.014505392018589185,0.007593689911849691,0.030448211727608705,0.006251429979394414,0.0020293349249238617,0.010767210650287008,0.00490592015279312,0.00226283822355375,0.01285941982172585,0.0003681423997506271,0.0013120872630354742
Greenland,0.02442081463692677,0.0032117507745439877,3.248796851809273e-07,0.06319920592348022,0.85238655662531,0.005523411711149716,0.004853256424071312,0.0015172570850463037,0.00665221205662131,0.0051734926386141885,1.2181613490037567e-05,1.9335281260504022e-06
England,0.0076072803047063505,0.02095983011190848,0.0013718988847323474,4.08250300094416e-05,0.0011136425000851811,0.0003466492671728805,0.0005495129439765699,6.437928423396991e-05,0.0051791016851610965,0.0055001275042139705,0.011444346025809828,0.00338555571799394
Estonia,0.011013937893393395,0.017039573648344002,0.029387518450905994,0.005002895194377561,7.157812972287424e-06,0.0038014747909365576,0.001155435831378003,0.04322095970034495,0.0173656361913653,1.2012088580845263e-05,0.008204735630179616,0.0019517926151852124
Finland,0.03220638632357347,0.008769613938010661,0.035175504194279485,0.01764647684942941,0.0006471602762729336,0.020151830905504164,0.2098094292069586,0.0024009726427211987,0.0045324980343062655,0.009897310202576651,0.0015954787351457923,0.0008598553437284695
