,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12
Albania,0.2660772093906133,0.13018777022613964,0.07560249795663167,0.03533389739015546,0.0003823700756314755,0.3186153106715498,0.0045247208139433375,0.13715971147787573,6.986635199137687e-05,0.011800684303684004,0.017873064940977464,0.002372896400806784
Austria,0.0036923197011804417,0.06688233193851215,0.07286414879486784,0.13373714200941167,0.07334239208594917,0.13798187290080152,0.03657740500003384,0.008690477156421884,0.13940551166025825,0.3137317908531894,0.01114526631027157,0.001949341589102091
Tyrol,0.06216258496301002,0.3159430902427532,0.07215305410322344,0.0179027025926605,0.023917462346891658,0.010860210850049056,0.005905097324932107,0.002973908989687933,0.06057170087609831,0.37859141463885854,0.04888676158695303,0.00013201148488204762
Belarus,0.2701485047248261,0.4596809214388999,0.0002016368072030312,0.004547748581581057,0.019770746671385286,0.08649213106248799,0.12800273084838193,0.01716674016496598,0.009031538256400393,0.0024863814954866445,0.0023907340534685385,8.01858949131811e-05
Belgium,0.12427536322140868,0.7958972925764762,0.003699446808987087,0.0011985667458560708,0.025647056928392618,0.0027310358870940125,0.007958926041313735,0.00039602936347974847,0.00030427376451581625,0.03726244319270355,0.0004858630628391349,0.00014370240693334466
Bosnia-Herzegovina,0.004244911824482764,0.4014440122040208,0.3945419183419782,0.05898237309726749,5.491206426884097e-05,0.029256180710801567,0.0670118119742919,0.034523826710308306,0.008857371102917278,0.000838496174746465,9.81709594211903e-06,0.00023436869897420235
Bosniaks,0.011118734983575613,0.37479033284823415,0.3989120476075025,0.05571625918420011,0.0043136720387372445,0.05290806356953189,0.06937057011443498,0.018547397555849734,0.007365828406314543,0.006688603237917268,0.00023944767557750887,2.9042778124191573e-05
Bosnian Croats,0.02612180960904198,0.22064649168492717,0.4643577327757317,0.08480129344886686,0.01904942920882479,0.06288257344987054,0.07954802379071313,0.02221739590902476,0.00013402309858580037,0.015430688266532865,0.004783933550459011,2.6605207421364122e-05
Bosnian Serbs,0.006015117722017756,0.2904178478996768,0.26006589287790827,0.18976623148936145,0.000978848987539775,0.1207731809391687,0.0016214974935472087,0.05364433315410538,0.005612962464498426,0.06840365209328977,0.0011987646344314776,0.0015016702444548534
Bulgaria,0.32710183248123686,0.24746562437202413,0.04641907225996296,0.18375644018233944,0.011006547706689303,0.01698740790812965,0.0006582287751030787,0.06089959202299999,0.019983092788659097,0.014759918450376674,0.07062790036797187,0.0003343426845068986
Croatia,0.030744501958323914,0.4773359202301638,0.2818360341454011,0.11202139942411578,0.007535019348816674,0.0692574205971353,0.005888670918857224,7.388093677803325e-05,0.009032601937390848,0.005585878133016766,0.0006881576338824753,5.147361182111388e-07
Czech Republic,0.2973770389187978,0.002727415429296794,0.03856389862582172,0.25257707158365605,0.06788902795376918,0.0630151466216225,0.21921135876476727,0.006330017946315101,0.03347945225511586,0.00028738001998120154,0.018098495335164576,0.0004436965456920101
Cyprus,0.8192196472260702,0.036194512179799215,0.0721601274541892,0.003957700876385269,0.006937356312030281,0.0015338939491108619,0.006037013109260107,0.008912910425983973,0.014203364978729626,0.0004411055970957519,0.03040202553514504,3.423562002876438e-07
Denmark,0.4375525715773806,0.18964793670802466,0.0537252217919605,0.20805204574002087,0.03539039679350442,0.00850100470010319,0.02816611894091847,0.012640929259345197,0.004712500796863586,0.021211373859217134,0.00038011343486175095,1.9786397799741152e-05
